Date,D-mart Open,D-mart High, D-mart Low,D-mart Close,D-mart Adj Close,D-mart Volume,Reliance Open,Reliance High,Reliance Low,Reliance Close,Reliance Adj Close,Reliance Volume,,Drop down for visibility,,,,,,,,,,,,Date,D-mart Adj Close,Reliance Adj Close
04-02-2022,4140,4140.200195,4075,4081.899902,4081.899902,299981,2341,2348.449951,2321.100098,2331.300049,2324.302246,5104761,,,,,,,,,,,,,,04-02-2022,4081.899902,2324.302246
07-02-2022,4090,4146.799805,4045.199951,4073.550049,4073.550049,288091,2342,2356.800049,2305,2317.100098,2310.144775,4944725,,,,,,,,,,,,,,07-02-2022,4073.550049,2310.144775
08-02-2022,4098.899902,4128.950195,3995,4015,4015,456874,2330.649902,2360,2310,2356.050049,2348.978027,5566080,,,,,,,,,,,,,,08-02-2022,4015,2348.978027
09-02-2022,4078.699951,4078.699951,3983,4002.100098,4002.100098,380364,2371.149902,2387.199951,2358,2383.5,2376.345459,5300891,,,,,,,,,,,,,,09-02-2022,4002.100098,2376.345459
10-02-2022,4034.100098,4182,4001,4162.700195,4162.700195,699250,2395.699951,2395.699951,2365.100098,2381.050049,2373.902832,5752361,,,,,,,,,,,,,,10-02-2022,4162.700195,2373.902832
11-02-2022,4138,4157,4080.100098,4142.25,4142.25,336884,2373.25,2384.5,2344.100098,2376.399902,2369.266602,7357863,,,,,,,,,,,,,,11-02-2022,4142.25,2369.266602
14-02-2022,4015,4125,3958.050049,3979.75,3979.75,466101,2340.25,2354.949951,2313,2338.550049,2331.530518,4947109,,,,,,,,,,,,,,14-02-2022,3979.75,2331.530518
15-02-2022,4015,4128.899902,3980,4081.75,4081.75,377212,2351.199951,2423.899902,2335.699951,2417.949951,2410.691895,5174646,,,,,,,,,,,,,,15-02-2022,4081.75,2410.691895
16-02-2022,4139.899902,4155,4035,4051.149902,4051.149902,313236,2430,2433,2395.949951,2412.949951,2405.707031,4796294,,,,,,,,,,,,,,16-02-2022,4051.149902,2405.707031
17-02-2022,4095.600098,4152,4080,4115.399902,4115.399902,357259,2420.100098,2454.899902,2410,2443.5,2436.165283,5931774,,,,,,,,,,,,,,17-02-2022,4115.399902,2436.165283
18-02-2022,4098,4121,4056.050049,4073.100098,4073.100098,169496,2444.399902,2456.399902,2420.149902,2424.399902,2417.122559,3126873,,,,,,,,,,,,,,18-02-2022,4073.100098,2417.122559
21-02-2022,4048,4170,3990,4096.600098,4096.600098,480541,2412,2437.5,2384.600098,2399.899902,2392.696045,5125968,,,,,,,,,,,,,,21-02-2022,4096.600098,2392.696045
22-02-2022,4001,4179,3990,4157.100098,4157.100098,484781,2352.899902,2395.899902,2347.149902,2389,2381.828857,6227901,,,,,,,,,,,,,,22-02-2022,4157.100098,2381.828857
23-02-2022,4165,4217.700195,4135,4193.450195,4193.450195,360454,2401.100098,2406.550049,2368,2374.050049,2366.923828,3373615,,,,,,,,,,,,,,23-02-2022,4193.450195,2366.923828
24-02-2022,3993.850098,4131.950195,3947.850098,4014.649902,4014.649902,552288,2305,2339.899902,2243.399902,2255.75,2248.979004,11466725,,,,,,,,,,,,,,24-02-2022,4014.649902,2248.979004
25-02-2022,4080,4210,4037.649902,4190.75,4190.75,425226,2280.100098,2307.949951,2276.25,2283.949951,2277.094238,6724094,,,,,,,,,,,,,,25-02-2022,4190.75,2277.094238
28-02-2022,4155,4355,4062.100098,4340.350098,4340.350098,647569,2243,2367.350098,2243,2359.550049,2352.467529,9828768,,,,,,,,,,,,,,28-02-2022,4340.350098,2352.467529
02-03-2022,4299.950195,4446.950195,4270,4295.149902,4295.149902,479507,2334.449951,2401,2329.199951,2398.550049,2391.350342,9909226,,,,,,,,,,,,,,02-03-2022,4295.149902,2391.350342
03-03-2022,4370,4395,4253.899902,4276.5,4276.5,303425,2400,2414.850098,2370.050049,2378.300049,2371.161133,4701183,,,,,,,,,,,,,,03-03-2022,4276.5,2371.161133
04-03-2022,4260.200195,4260.200195,4075.050049,4110.200195,4110.200195,437691,2353,2364.300049,2320.350098,2325.550049,2318.56958,4986814,,,,,,,,,,,,,,04-03-2022,4110.200195,2318.56958
07-03-2022,4001,4175,3970.800049,3991.649902,3991.649902,694633,2278.699951,2312.100098,2222,2239.550049,2232.827637,8299295,,,,,,,,,,,,,,07-03-2022,3991.649902,2232.827637
08-03-2022,4016,4160,3992.399902,4124,4124,713004,2211.5,2246,2180,2235.5,2228.789795,9825043,,,,,,,,,,,,,,08-03-2022,4124,2228.789795
09-03-2022,4155,4172.899902,4071.100098,4096.700195,4096.700195,395071,2236,2367,2234.149902,2354.100098,2347.033936,9421163,,,,,,,,,,,,,,09-03-2022,4096.700195,2347.033936
10-03-2022,4210,4239.899902,4142.299805,4168.600098,4168.600098,439778,2400,2405,2360,2392.25,2385.069092,8297995,,,,,,,,,,,,,,10-03-2022,4168.600098,2385.069092
11-03-2022,4167,4210,4109.25,4198.950195,4198.950195,387534,2376.050049,2411,2376.050049,2399.149902,2391.948486,5656799,,,,,,,,,,,,,,11-03-2022,4198.950195,2391.948486
14-03-2022,4190,4218,4150,4168.25,4168.25,305326,2386.899902,2424.399902,2374,2418.850098,2411.589355,3849222,,,,,,,,,,,,,,14-03-2022,4168.25,2411.589355
15-03-2022,4191,4251,4171.75,4231.049805,4231.049805,560819,2427.949951,2427.949951,2340.850098,2363.449951,2356.355713,7349740,,,,,,,,,,,,,,15-03-2022,4231.049805,2356.355713
16-03-2022,4229.75,4243.600098,4153,4169.549805,4169.549805,470355,2382,2407.899902,2377.100098,2403.350098,2396.135986,5145644,,,,,,,,,,,,,,16-03-2022,4169.549805,2396.135986
17-03-2022,4218,4239,4166.100098,4192.75,4192.75,608024,2432.75,2497.399902,2415.100098,2481.699951,2474.250732,9886295,,,,,,,,,,,,,,17-03-2022,4192.75,2474.250732
21-03-2022,4217,4217,4080.600098,4095.199951,4095.199951,370641,2444,2484,2439,2467.399902,2459.993652,5537752,,,,,,,,,,,,,,21-03-2022,4095.199951,2459.993652
